CUSTID,GENDER,AGE,TV_REG,NGROUP,LCDATE,BILL,REGION,CLASS,ORGYN,AFFL,LTIME,OAC,S_MT,S_FVEG,S_TOIL,S_CONV
0000000140,U,76,Wales & West,C,07/11/1994,16000,Midlands,Gold,0,10,4,6,2.15,17.40,27.66,0.29
0000000620,U,49,Wales & West,D,04/06/1993,6000,Midlands,Gold,0,4,5,6,18.78,1.91,23.21,9.88
0000000868,F,70,Wales & West,D,02/08/1990,0,Midlands,Silver,1,5,8,6,33.17,27.94,16.69,14.78
0000001120,M,65,Midlands,F,01/07/1991,0,Midlands,Tin,1,10,7,4,20.84,28.64,26.69,8.06
0000002313,F,68,Midlands,A,01/03/1990,0,Midlands,Tin,0,11,8,5,5.22,37.45,21.65,12.54
0000002771,U,72,N West,D,07/11/1995,20760,North,Platinum,0,9,3,8,16.10,15.77,14.27,17.43
0000003131,F,74,East,A,01/03/1990,0,Midlands,Tin,0,11,8,6,10.55,26.58,26.06,12.64
0000003328,M,62,N East,D,09/02/1994,0,North,Tin,0,13,5,1,11.65,35.02,8.24,8.67
0000004529,M,62,East,F,29/06/1995,2039,Midlands,Silver,0,10,3,6,10.40,45.29,13.32,9.51
0000005886,F,43,,F,17/03/1997,6000,,Gold,1,14,1,8,26.28,29.33,11.05,15.62
0000007420,F,60,N East,F,13/05/1996,11000,North,Gold,0,7,2,1,35.85,33.22,36.08,12.29
0000009814,M,,London,C,10/11/1997,5000,South East,Silver,1,5,1,2,12.06,29.69,27.53,5.49
0000010006,F,51,Midlands,F,10/12/1987,300,Midlands,Silver,0,9,11,5,23.21,16.07,20.47,10.84
0000010219,F,64,S & S East,C,01/02/1990,0,South East,Tin,0,6,9,5,20.58,27.12,13.19,12.81
0000010812,F,37,London,C,28/04/1994,0,South East,Tin,1,16,4,8,15.81,22.96,12.46,15.04
0000011207,M,54,Midlands,D,23/05/1997,1420,Midlands,Silver,0,8,1,2,5.84,39.68,18.09,6.55
0000011932,F,70,Midlands,B,05/04/1990,6105,Midlands,Gold,0,5,8,2,24.52,42.99,20.36,11.36
0000014656,F,42,East,C,04/01/1994,0,Midlands,Tin,1,,5,,22.84,28.02,7.41,11.34
0000015350,F,,C Scotland,E,22/09/1993,0,Scottish,Tin,1,7,5,1,23.48,29.61,21.38,10.05
0000017302,,49,London,D,01/04/1991,0,South East,Tin,0,7,7,6,32.58,39.33,18.99,9.11
0000019496,F,66,Midlands,F,10/09/1986,500,Midlands,Silver,0,9,12,6,27.84,19.79,30.71,9.61
0000019763,F,74,Wales & West,B,19/11/1996,6000,Midlands,Gold,0,9,2,7,17.61,27.28,7.04,9.52
0000020478,,70,East,E,07/05/1996,16000,Midlands,Gold,0,6,2,5,18.19,33.64,12.05,13.84
0000020761,M,66,S & S East,D,22/02/1994,1000,South East,Silver,0,7,5,4,31.40,42.73,22.99,5.34
0000023124,F,46,London,D,01/07/1990,0,South East,Tin,0,6,8,4,13.58,20.94,12.19,12.18
0000024554,M,39,Ulster,,25/01/1994,0,Midlands,Tin,0,10,5,1,23.42,41.01,17.72,6.01
0000024880,M,75,East,B,18/12/1991,4000,Midlands,Silver,0,7,7,2,10.39,44.33,5.09,9.69
0000026387,F,72,Ulster,,16/06/1975,1250,Midlands,Silver,1,,23,,24.35,31.06,28.20,11.75
0000027715,M,43,N West,F,21/09/1993,0,North,Tin,1,7,5,2,38.54,28.57,28.15,5.65
0000029173,F,62,Wales & West,C,23/11/1994,20000,Midlands,Gold,0,7,4,6,21.03,27.41,21.40,15.43
0000029440,M,37,S West,B,06/02/1990,1000,South West,Silver,1,8,9,2,28.33,43.66,23.81,8.45
0000030600,F,49,London,F,01/05/1990,0,South East,Tin,0,9,8,3,30.98,27.05,20.09,14.54
0000030937,,79,N East,D,12/05/1997,6000,North,Gold,0,8,1,6,28.55,18.02,27.84,13.76
0000039330,M,,East,F,22/04/1994,0,Midlands,Tin,0,,4,,31.95,50.42,23.46,6.51
0000041092,F,50,East,D,02/01/1996,9800,Midlands,Gold,0,3,3,1,21.03,20.55,18.04,8.24
0000041475,M,66,London,D,19/11/1987,0,South East,Tin,0,,11,,32.08,53.62,18.26,8.05
0000042439,F,35,Wales & West,C,09/03/1993,1630,Midlands,Silver,1,15,5,5,15.68,22.79,13.37,15.42
0000045799,F,71,Wales & West,B,20/10/1993,1500,Midlands,Silver,0,10,5,2,29.75,14.77,17.86,14.25
0000046906,F,44,N West,F,12/11/1997,1000,North,Silver,0,7,1,7,21.00,32.15,16.25,13.06
0000050237,M,42,N East,B,14/09/1993,0,North,Tin,0,8,5,5,19.67,43.65,26.23,8.17
0000051950,F,68,S West,B,08/12/1993,6053,South West,Gold,1,9,5,5,35.20,36.33,23.14,14.19
0000054496,F,31,Yorkshire,D,28/09/1994,0,North,Tin,0,9,4,7,21.88,18.64,19.51,8.81
0000056073,F,70,London,B,28/01/1984,19054,South East,Gold,0,8,15,2,10.72,34.37,9.56,15.80
0000057002,F,72,N East,E,05/12/1995,20527,North,Platinum,0,7,3,7,33.00,40.00,14.77,11.00
0000057622,M,41,East,,01/01/1990,0,Midlands,Tin,0,12,9,6,22.07,29.61,17.74,9.43
0000059056,F,37,N East,F,31/07/1997,6000,North,Gold,1,9,1,4,20.72,23.55,17.43,11.07
0000059862,F,58,N West,C,27/09/1991,10053,North,Gold,0,8,7,2,27.82,20.01,14.29,13.09
0000063002,F,47,London,D,20/01/1994,0,South East,Silver,0,7,5,7,23.38,43.27,19.07,11.19
0000063983,M,71,East,E,20/02/1993,1000,Midlands,Silver,0,8,6,7,39.11,41.50,17.57,11.78
